"spiel_id","spiel_title","bgg_id","note"
"38","Das ""Gelingt immer""-Puzzle ""Obst""","","Fill verified BGG ID"
"395","Das 1% Quiz – Wie clever bist du? Das offizielle Quizspiel mit Fragen aus der Show","","Fill verified BGG ID"
"317","Das Cliquenquiz","","Fill verified BGG ID"
"1281","Das Violette Schwert","","Fill verified BGG ID"
"1217","Dashin' Dinos","","Fill verified BGG ID"
"33","Date Night","","Fill verified BGG ID"
"45","Davor oder danach?","","Fill verified BGG ID"
"215","Deadpool Dice Throne","","Fill verified BGG ID"
"808","Deae Via","","Fill verified BGG ID"
"1462","Deckscape – Die magische Akademie","","Fill verified BGG ID"
"447","Deep Regrets: Even Deeper Regrets","","Fill verified BGG ID"
"381","Deep Sea Diamond Dive","","Fill verified BGG ID"
"1084","Der Herr der Ringe: Die Entscheidung","","Fill verified BGG ID"
"1421","Der Herr der Ringe: Die zwei Türme – Das Stichspiel","","Fill verified BGG ID"
"1095","Der Whitehall-Mord","","Fill verified BGG ID"
"593","Diamant: Warnung und Verrat","","Fill verified BGG ID"
"92","Dice Throne Outcasts: Bleiche Dame vs. Kopfloser Reiter","","Fill verified BGG ID"
"239","Dice Throne Outcasts: Rabenfürstin vs. Totenbeschwörer","","Fill verified BGG ID"
"1342","Die Ameisen von Amyra","","Fill verified BGG ID"
"653","Die Hängenden Gärten","","Fill verified BGG ID"
"1346","Die Magische Bibliothek","","Fill verified BGG ID"
"1366","Die Ratten von Wistar: Clans & Portale","","Fill verified BGG ID"
"968","Die Zaubermühle","","Fill verified BGG ID"
"383","Die Zwerge – Königswahl. Das offizielle Kartenspiel zur Fantasy-Saga von Markus Heitz","","Fill verified BGG ID"
"312","Dinner Party - A Lot To Unpack","","Fill verified BGG ID"
"1194","Dino Garden","","Fill verified BGG ID"
"1207","Dino Garden Brute Hunters Expansion 01","","Fill verified BGG ID"
"1198","Dino Garden Gentle Titans Expansion 02","","Fill verified BGG ID"
"54","Dino Parade","","Fill verified BGG ID"
"1028","Disaster Draft","","Fill verified BGG ID"
"1424","Dixit Kids","","Fill verified BGG ID"
"1395","Dobble Sports","","Fill verified BGG ID"
"365","Dobro – Doppelt hält besser!","","Fill verified BGG ID"
"1334","Dogfight: 1917","","Fill verified BGG ID"
"1345","Domeskai Tamers RPG and Card Game","","Fill verified BGG ID"
"1128","Donkey Derby","","Fill verified BGG ID"
"560","Double Nine","","Fill verified BGG ID"
"1135","Drachen von Runenstein","","Fill verified BGG ID"
"1175","Drachenpups & Tollkirschkern","","Fill verified BGG ID"
"952","Drachenpups & Tollkirschkern","","Fill verified BGG ID"
"1206","Draconis - Collectors Box","","Fill verified BGG ID"
"1381","Dragonbane Box","","Fill verified BGG ID"
"1431","Dragonbane Regelwerk","","Fill verified BGG ID"
"1398","Dragonbane Schnellstarter","","Fill verified BGG ID"
"1409","Dragonbane Spielleitungsschirm","","Fill verified BGG ID"
"320","Dragon’s Roll","","Fill verified BGG ID"
"1228","Drakkard","","Fill verified BGG ID"
"23","Dreamteam - 1. Erweiterung","","Fill verified BGG ID"
"533","Drillers: Upgraded Components","","Fill verified BGG ID"
"1047","Driving Me Crazy! Route 66 Edition","","Fill verified BGG ID"
"1439","Du kleiner Freak","","Fill verified BGG ID"
"928","EXIT® - The Game - Kids: Mystery Fun in the Ocean","","Fill verified BGG ID"
"911","EXIT® - The Game: The Perfect Heist","","Fill verified BGG ID"
"915","Easy Peasy","","Fill verified BGG ID"
"1472","Eat the Reich - deutsche Ausgabe","","Fill verified BGG ID"
"1413","Einfach Ehrenlos","","Fill verified BGG ID"
"1160","Elementary","","Fill verified BGG ID"
"301","Elemonsters explore","","Fill verified BGG ID"
"883","Emberleaf","","Fill verified BGG ID"
"1444","Endangered Rescue #4: Chambered Nautilus","","Fill verified BGG ID"
