name,expansion,players,play_time,age,designers,publishers,hall,booth,priority,preorder,prepaid,price,notes
"Bier Booster: Kartenset I ?Freitrunk?",1,2-4,,0,"Thomas Spitzer",Spielefaible,3,3G515,Need,0,0,,
"Bier Booster: Kartenset II ?Frederick Pabst?",1,2-4,,0,"Thomas Spitzer",Spielefaible,3,3G515,Need,0,0,,
BigWig,0,2-6,"20 min",8,"Mario Mittermüller, Dominik Artefex",HABA,8,8A300,Need,0,0,11,
"BigWig: Promo Pack",1,2-6,"20 min",8,"Dominik Artefex, Mario Mittermüller",HABA,8,8A300,Need,0,0,,
"BIOlink: Gut vernetzt ist halb gefressen.",0,1-4,"15-25 min",6,"Daniel Hitzing, Erik Robert","Didact Games",5,5G115,Need,0,0,20,
"Black Flag!",0,4-8,"30 min",10,"Emiliano Sciarra","DV Games",3,3P500,Need,0,0,24,
"Black Rose Wars: Rebirth ? Mathemagics",1,2-4,"90 min",14,,"Ludus Magnus Studio",3,3B225,Need,0,0,,
Blancat,0,2-4,"20 min",8,Nutgoo.Lee,"Korea Boardgames",5,5A300,Need,0,0,25,
"Blood Hunt",0,2-4,"30 min",10,"Maxime Rambourg, Théo Rivière","Mandoo Games",6,6B201,Need,0,0,,
"Bloom Kingdom",0,2-5,"15-25 min",8,"Christian Kudahl, Thomas Weber (III)","Deep Print Games",3,3B300,Need,0,0,,
"Bloom Kingdom",0,2-5,"15-25 min",8,"Christian Kudahl, Thomas Weber (III)","Deep Print Games",3,3B300,Need,0,0,,
BLOOOOOOM,0,2-4,"15-20 min",8,"Corné van Moorsel",Cwali,2,2A445,Need,0,0,20,
"Boaromia Festival",0,3-8,"45-90 min",12,"Bertus Moeskops, Monique Snijder","Tureluurs Games",2,2C325,Need,0,0,47,
"Bohemians: Tales From Montmartre",1,1-4,"45-60 min",0,"Jasper de Lange","Portal Games",3,3J120,Need,0,0,,
Boktor,0,1-6,"45-75 min",10,"Ludovic Adam","Fox Troll Games",4,4D115,Need,0,0,65,
"Boktor: Shadow of the Forest",1,1-6,"45-90 min",10,"Ludovic Adam","Fox Troll Games",4,4D115,Need,0,0,46,
"Bollywood Blockbuster",0,2-6,"60 min",10,"Dirk Henn","Queen Games",3,3K400,Need,0,0,,
Bologna,0,2,"30 min",10,"Martin Holeksa, Robert Milička","TLAMA games",2,2C145,Need,0,0,25,
"Bomb Busters: The Pro Kit",1,2-5,"20-30 min",0,"Hisashi Hayashi","Pegasus Spiele",3,3M120,Need,0,0,,
"Bomb Busters: Upgrade Kit",1,2-5,"20-30 min",0,"Hisashi Hayashi","Pegasus Spiele",3,3M120,Need,0,0,25,
Bonbon,0,2-5,"20 min",8,"Eugeni Castaño, Eloi Pujadas","2Tomatoes Games",6,6B400,Need,0,0,28,
Bookshelf,0,1-6,"15-20 min",8,"Caezar Al-Jassar","Alley Cat Games",3,3F400,Need,0,0,15,
Bordeaux,0,1-75,"30 min",14,"Ben Rosset","Road To Infamy Games (R2i Games)",,,Need,0,0,9,
"Borealis: Arctic Expeditions",0,2-4,"45 min",10,"Dariusz Mindur","Lucky Duck Games",6,6B401,Need,0,0,30,
"Borealis: Arctic Expeditions",0,2-4,"45 min",10,"Dariusz Mindur","Lucky Duck Games",6,6B401,Need,0,0,,
"Boss Fighters QR: Dschungelfieber",1,2-4,"40-60 min",10,"Michael Palm, Lukas Zach","Pegasus Spiele",3,3M120,Need,0,0,30,
"Boss Hunters",0,1-4,"45-60 min",8,"Carlos Emperador Gamarra, Ignacio García","Synergic Games",4,4E225,Need,0,0,,
"Break The Word",0,2-6,"15 min",8,"Wilfried Fort, Marie Fort",IELLO,6,6F200,Need,0,0,16,
Breakthru,0,2,"15-25 min",14,Geonil,Schemers,,,Need,0,0,25,
"Brumble Quest",0,3-50,"10 min",14,"J. Arthur Ellis","Plaid Hat Games",3,3C415,Need,0,0,10,
Brushwood,0,2-4,"30 min",8,"Filippo Landini","Korea Boardgames",5,5A300,Need,0,0,25,
"Bubble and Shadow",0,2-5,"30 min",10,"Kai Zu","Broadway Toys LTD",2,2D610,Need,0,0,25,
"Bunny 100",0,2-6,"10-30 min",8,,"DV Games",3,3P500,Need,0,0,14,
BurgerDraft,0,2-6,"10-15 min",8,"David Rimbach","Hodari Spiele",3,3H300,Need,0,0,25,
"Buried Memories",0,1-6,"20-30 min",8,"Kristian Amundsen Østby, Aleksander Østby","Aporta Games",,,Need,0,0,22,
"Burning Cookies",0,3-6,"15-20 min",8,"Pablo Jiménez, Helena Lobo",Piatnik,6,6G200,Need,0,0,9,
Button,0,2-4,"30-40 min",10,"Valou Leuba","Shilipash Studio",4,4F510,Need,0,0,20,
"Buttons & Bugs: Pub Crawlers",1,1,"20-30 min",10,"Nikki Valens","Cephalofair Games",3,3R200,Need,0,0,18,
CAGONES,0,2-6,"15-20 min",10,"José Carlos Carmona Baena, Antonio Rodriguez Vega","GDM Games",3,3G120,Need,0,0,10,
Camboya,0,2-4,"45 min",10,"Jorge Tabanera Redondo","Tranjis Games",3,3U130,Need,0,0,,
"Can't Win",0,3-4,"30-45 min",10,"新澤 大樹 (Taiki Shinzawa)",Engames,2,2B400,Need,0,0,20,
"Capsule Collector",0,2-4,"15 min",7,Joohyun,"Korea Boardgames",5,5A300,Need,0,0,15,
"Captain Tsubasa: Otomo Challenge",1,1-4,"25-40 min",10,"Pablo M. Peón","Present Is Future Games (PIF GAMES)",3,3P115,Need,0,0,15,
"Capy Cabana",0,1-5,"15 min",5,"Marco Teubner","Ravensburger AG",7,7D311,Need,0,0,25,
"Capybara Run & Fun",0,2-6,"45-60 min",8,,"Queen Games",3,3K400,Need,0,0,,
"Carcassonne Labyrinth",0,1-4,"30 min",8,"Max J. Kobbert, Klaus-Jürgen Wrede","Ravensburger AG",7,7D311,Need,0,0,35,
"Card Trip Europe",0,2-6,"20 min",8,"Yannick Zoldermans","Jolly Dutch Productions",6,6F110,Need,0,0,14,
"Cardia: Tide & Storm",0,2,"10 min",8,"Faouzi Boughida, Mathieu Rivero","Hans im Glück",2,2B210,Need,0,0,,
Caribe,0,1-4,"50-100 min",10,"Orlando Sá",PYTHAGORAS,2,2B355,Need,0,0,40,
"Carl von Linn�",0,1-4,"60-120 min",12,"Michal Peichl","Pink Troubadour",4,4G515,Need,0,0,75,
"Carnival of Sins",0,2-5,"10-20 min",10,"Alex Nogués",MM-Spiele,6,6B300,Need,0,0,20,
"Carpet Racers",0,3-5,"25-45 min",10,"Tomáš Holek","Pink Troubadour",4,4G515,Need,0,0,30,
"Carta Imperia: Rise of Rome",0,1-6,"60-120 min",14,"Mike Ibeji","Guntower Games",2,2E311,Need,0,0,65,
"Cascadia: Alpine Lakes",0,1-4,"30-45 min",10,"Randy Flynn",KOSMOS,7,7E400,Need,0,0,40,
"Cascadia: Bergseen",0,1-4,"30-45 min",10,"Randy Flynn",KOSMOS,7,7E400,Need,0,0,39,
"Cat and the Tower",0,1-5,"15-30 min",6,"Masakazu Takizawa (たきざわ まさかず)",ArsEdition,6,6A200,Need,0,0,30,
"Cat Earth",0,2-4,"30 min",8,"Gareth Edwards","Outset Media",,"6 - K110",Need,0,0,25,
"Cat Packs: Purrstock Festival",1,1-4,"30-45 min",0,"Tobias Hall","All Or None Games",3,3E500,Need,0,0,15,
"Cat Trick",0,3-5,"15 min",8,"Nagi-an (凪庵)",Helvetiq,8,8D300,Need,0,0,9,
"Cat years",0,1-4,"20-30 min",8,,"TRYBE GAMES",2,2C630,Need,0,0,,
"Cats Knocking Things Off Ledges",0,2-4,"15 min",10,"David Killing, Sen-Foong Lim","The Op Games",,,Need,0,0,20,
Cena,0,3-5,"30 min",12,"A.I. Lab",Batusaki,2,2D631,Need,0,0,15,
Cham�lio,0,2-4,"15-20 min",8,"Paolo Bianchi (II)",funbot,2,2E430,Need,0,0,,
Chatpentiers,0,3-5,"30-40 min",10,"Fukutarou, Yozaemon Matumoto (松本与左衛門)","Musoka Studio",6,6K301,Need,0,0,15,
"Check Mates",0,1-6,"20 min",8,"Anton Putsikin","Hobby World",6,6H110,Need,0,0,10,
"Chick'n Out",0,2-4,"20 min",5,"Yannis Lidy, Benoit Turpin","The Flying Games",6,6G400,Need,0,0,30,
Chimerium,0,1-4,"45-60 min",14,"Eric Dubus, Olivier Melison","Synapses Games",2,2E610,Need,0,0,,
Chivalry,0,1-4,"45-120 min",12,"Dávid Turczi","dlp games",3,3C115,Need,0,0,,
Chivalry,0,1-4,"45-120 min",12,"Dávid Turczi","dlp games",3,3C115,Need,0,0,,
"Chroniken von Brighthelm",1,1-4,"30-90 min",8,"Paul Stapleton",Spielefaible,3,3G515,Need,0,0,,
Chronocritters,0,1-4,"80-150 min",12,"Tristan Geeraert","Delicious Games",4,4A210,Need,0,0,60,
Chronocritters,0,1-4,"80-150 min",12,"Tristan Geeraert","Delicious Games",4,4A210,Need,0,0,60,
Circadia,0,2-5,"30 min",8,"Hisashi Hayashi","Synapses Games",2,2E610,Need,0,0,15,
